symbol,time,open,high,low,close,volume
ACB,2016-06-15 07:00:00,2.61,2.61,2.6,2.61,51430
ACB,2016-06-16 07:00:00,2.61,2.63,2.6,2.61,135735
ACB,2016-06-17 07:00:00,2.6,2.61,2.6,2.61,118867
ACB,2016-06-20 07:00:00,2.6,2.63,2.6,2.63,49716
ACB,2016-06-21 07:00:00,2.61,2.63,2.6,2.63,130676
ACB,2016-06-22 07:00:00,2.6,2.63,2.6,2.63,108886
ACB,2016-06-23 07:00:00,2.6,2.63,2.6,2.63,62511
ACB,2016-06-24 07:00:00,2.6,2.63,2.46,2.63,153703
ACB,2016-06-27 07:00:00,2.52,2.61,2.52,2.61,102503
ACB,2016-06-28 07:00:00,2.54,2.6,2.54,2.6,18644
ACB,2016-06-29 07:00:00,2.56,2.6,2.56,2.6,65672
ACB,2016-06-30 07:00:00,2.6,2.6,2.57,2.6,20698
ACB,2016-07-01 07:00:00,2.56,2.6,2.54,2.6,160733
ACB,2016-07-04 07:00:00,2.56,2.56,2.52,2.53,289840
ACB,2016-07-05 07:00:00,2.53,2.56,2.5,2.53,224536
ACB,2016-07-06 07:00:00,2.53,2.53,2.5,2.53,119879
ACB,2016-07-07 07:00:00,2.53,2.58,2.53,2.56,46124
ACB,2016-07-08 07:00:00,2.56,2.56,2.53,2.56,213318
ACB,2016-07-11 07:00:00,2.54,2.56,2.53,2.53,256181
ACB,2016-07-12 07:00:00,2.53,2.53,2.5,2.53,26771
ACB,2016-07-13 07:00:00,2.54,2.65,2.53,2.6,437147
ACB,2016-07-14 07:00:00,2.6,2.67,2.6,2.6,855293
ACB,2016-07-15 07:00:00,2.64,2.64,2.58,2.6,218899
ACB,2016-07-18 07:00:00,2.56,2.58,2.53,2.58,59135
ACB,2016-07-19 07:00:00,2.58,2.58,2.48,2.53,465733
ACB,2016-07-20 07:00:00,2.53,2.53,2.5,2.53,109114
ACB,2016-07-21 07:00:00,2.54,2.56,2.5,2.5,115206
ACB,2016-07-22 07:00:00,2.5,2.5,2.48,2.48,70617
ACB,2016-07-25 07:00:00,2.48,2.5,2.46,2.48,73600
ACB,2016-07-26 07:00:00,2.48,2.49,2.45,2.45,143345
ACB,2016-07-27 07:00:00,2.45,2.48,2.45,2.45,59291
ACB,2016-07-28 07:00:00,2.46,2.46,2.44,2.45,33402
ACB,2016-07-29 07:00:00,2.44,2.48,2.44,2.48,138157
ACB,2016-08-01 07:00:00,2.46,2.48,2.44,2.44,39056
ACB,2016-08-02 07:00:00,2.44,2.44,2.39,2.39,76750
ACB,2016-08-03 07:00:00,2.39,2.39,2.37,2.37,75348
ACB,2016-08-04 07:00:00,2.39,2.42,2.38,2.39,110262
ACB,2016-08-05 07:00:00,2.39,2.42,2.38,2.41,70318
ACB,2016-08-08 07:00:00,2.41,2.41,2.38,2.41,69544
ACB,2016-08-09 07:00:00,2.41,2.42,2.39,2.41,32488
ACB,2016-08-10 07:00:00,2.42,2.42,2.39,2.42,136283
ACB,2016-08-11 07:00:00,2.42,2.42,2.41,2.42,16038
ACB,2016-08-12 07:00:00,2.44,2.45,2.41,2.42,48499
ACB,2016-08-15 07:00:00,2.41,2.42,2.39,2.39,39933
ACB,2016-08-16 07:00:00,2.39,2.46,2.39,2.44,106540
ACB,2016-08-17 07:00:00,2.44,2.44,2.41,2.42,117280
ACB,2016-08-18 07:00:00,2.42,2.46,2.41,2.41,113815
ACB,2016-08-19 07:00:00,2.41,2.41,2.39,2.41,126316
ACB,2016-08-22 07:00:00,2.39,2.41,2.39,2.39,64989
ACB,2016-08-23 07:00:00,2.39,2.41,2.38,2.41,100523
ACB,2016-08-24 07:00:00,2.41,2.42,2.39,2.39,53493
ACB,2016-08-25 07:00:00,2.41,2.44,2.39,2.44,86057
ACB,2016-08-26 07:00:00,2.39,2.45,2.39,2.45,74750
ACB,2016-08-29 07:00:00,2.45,2.45,2.44,2.44,133815
ACB,2016-08-30 07:00:00,2.44,2.44,2.44,2.44,55861
ACB,2016-08-31 07:00:00,2.45,2.46,2.44,2.46,192835
ACB,2016-09-01 07:00:00,2.46,2.46,2.45,2.45,81398
ACB,2016-09-05 07:00:00,2.44,2.44,2.42,2.44,78738
ACB,2016-09-06 07:00:00,2.44,2.45,2.44,2.45,100607
ACB,2016-09-07 07:00:00,2.44,2.45,2.42,2.44,37441
ACB,2016-09-08 07:00:00,2.42,2.44,2.41,2.44,38923
ACB,2016-09-09 07:00:00,2.37,2.44,2.37,2.42,9453
ACB,2016-09-12 07:00:00,2.41,2.41,2.38,2.41,137291
ACB,2016-09-13 07:00:00,2.39,2.41,2.38,2.39,76695
ACB,2016-09-14 07:00:00,2.39,2.39,2.37,2.38,151529
ACB,2016-09-15 07:00:00,2.37,2.38,2.34,2.37,160591
ACB,2016-09-16 07:00:00,2.34,2.37,2.33,2.37,120039
ACB,2016-09-19 07:00:00,2.35,2.37,2.34,2.34,39590
ACB,2016-09-20 07:00:00,2.34,2.37,2.33,2.34,117888
ACB,2016-09-21 07:00:00,2.34,2.42,2.34,2.38,181530
ACB,2016-09-22 07:00:00,2.39,2.39,2.37,2.37,52251
ACB,2016-09-23 07:00:00,2.35,2.38,2.35,2.38,54315
ACB,2016-09-26 07:00:00,2.38,2.38,2.35,2.35,55181
ACB,2016-09-27 07:00:00,2.34,2.38,2.34,2.37,112486
ACB,2016-09-28 07:00:00,2.35,2.49,2.35,2.49,960835
ACB,2016-09-29 07:00:00,2.5,2.52,2.49,2.5,413417
ACB,2016-09-30 07:00:00,2.5,2.52,2.48,2.5,281903
ACB,2016-10-03 07:00:00,2.52,2.64,2.5,2.54,584999
ACB,2016-10-04 07:00:00,2.54,2.65,2.54,2.61,728172
ACB,2016-10-05 07:00:00,2.61,2.7,2.61,2.67,650032
ACB,2016-10-06 07:00:00,2.68,2.68,2.63,2.67,445683
ACB,2016-10-07 07:00:00,2.64,2.65,2.56,2.6,474856
ACB,2016-10-10 07:00:00,2.6,2.64,2.58,2.6,595489
ACB,2016-10-11 07:00:00,2.6,2.64,2.58,2.6,325562
ACB,2016-10-12 07:00:00,2.61,2.71,2.6,2.64,742105
ACB,2016-10-13 07:00:00,2.63,2.67,2.63,2.65,297562
ACB,2016-10-14 07:00:00,2.65,2.67,2.64,2.64,399942
ACB,2016-10-17 07:00:00,2.63,2.63,2.61,2.61,379894
ACB,2016-10-18 07:00:00,2.61,2.63,2.6,2.63,383550
ACB,2016-10-19 07:00:00,2.63,2.71,2.63,2.68,894546
ACB,2016-10-20 07:00:00,2.68,2.7,2.64,2.67,176834
ACB,2016-10-21 07:00:00,2.67,2.67,2.64,2.65,115481
ACB,2016-10-24 07:00:00,2.64,2.65,2.6,2.6,435877
ACB,2016-10-25 07:00:00,2.6,2.63,2.57,2.63,228430
ACB,2016-10-26 07:00:00,2.63,2.63,2.6,2.61,123409
ACB,2016-10-27 07:00:00,2.61,2.63,2.6,2.63,184931
ACB,2016-10-28 07:00:00,2.61,2.65,2.6,2.65,109185
ACB,2016-10-31 07:00:00,2.64,2.65,2.6,2.6,200973
ACB,2016-11-01 07:00:00,2.6,2.64,2.6,2.63,246218
ACB,2016-11-02 07:00:00,2.61,2.63,2.6,2.61,74747
ACB,2016-11-03 07:00:00,2.61,2.61,2.57,2.6,263536
ACB,2016-11-04 07:00:00,2.6,2.6,2.58,2.6,51973
ACB,2016-11-07 07:00:00,2.6,2.61,2.58,2.61,140965
ACB,2016-11-08 07:00:00,2.61,2.61,2.6,2.6,240477
ACB,2016-11-09 07:00:00,2.6,2.6,2.46,2.56,510554
ACB,2016-11-10 07:00:00,2.56,2.63,2.56,2.61,149865
ACB,2016-11-11 07:00:00,2.61,2.63,2.6,2.61,180044
ACB,2016-11-14 07:00:00,2.61,2.61,2.6,2.6,189722
ACB,2016-11-15 07:00:00,2.63,2.63,2.6,2.61,147050
ACB,2016-11-16 07:00:00,2.61,2.61,2.58,2.58,165430
ACB,2016-11-17 07:00:00,2.6,2.61,2.6,2.6,216720
ACB,2016-11-18 07:00:00,2.6,2.6,2.58,2.58,232504
ACB,2016-11-21 07:00:00,2.61,2.63,2.6,2.6,45941
ACB,2016-11-22 07:00:00,2.61,2.61,2.6,2.61,289066
ACB,2016-11-23 07:00:00,2.61,2.64,2.61,2.64,184640
ACB,2016-11-24 07:00:00,2.64,2.65,2.63,2.65,154688
ACB,2016-11-25 07:00:00,2.61,2.65,2.61,2.65,179786
ACB,2016-11-28 07:00:00,2.65,2.67,2.61,2.61,110554
ACB,2016-11-29 07:00:00,2.6,2.61,2.6,2.61,234984
ACB,2016-11-30 07:00:00,2.6,2.63,2.6,2.61,151350
ACB,2016-12-01 07:00:00,2.64,2.72,2.64,2.7,381829
ACB,2016-12-02 07:00:00,2.7,2.7,2.63,2.66,71031
ACB,2016-12-05 07:00:00,2.67,2.67,2.63,2.63,49063
ACB,2016-12-06 07:00:00,2.66,2.67,2.57,2.57,239780
ACB,2016-12-07 07:00:00,2.57,2.57,2.49,2.52,226091
ACB,2016-12-08 07:00:00,2.58,2.58,2.52,2.52,220042
ACB,2016-12-09 07:00:00,2.54,2.58,2.52,2.57,103048
ACB,2016-12-12 07:00:00,2.57,2.57,2.54,2.55,30478
ACB,2016-12-13 07:00:00,2.55,2.55,2.49,2.49,125191
ACB,2016-12-14 07:00:00,2.52,2.55,2.49,2.49,93783
ACB,2016-12-15 07:00:00,2.49,2.55,2.49,2.51,141933
ACB,2016-12-16 07:00:00,2.55,2.58,2.52,2.58,112809
ACB,2016-12-19 07:00:00,2.61,2.61,2.55,2.55,232663
ACB,2016-12-20 07:00:00,2.57,2.57,2.54,2.55,273119
ACB,2016-12-21 07:00:00,2.57,2.73,2.57,2.69,939567
ACB,2016-12-22 07:00:00,2.69,2.7,2.63,2.67,430272
ACB,2016-12-23 07:00:00,2.63,2.67,2.58,2.6,390028
ACB,2016-12-26 07:00:00,2.61,2.67,2.6,2.67,142239
ACB,2016-12-27 07:00:00,2.63,2.67,2.61,2.61,320223
ACB,2016-12-28 07:00:00,2.64,2.64,2.63,2.63,220675
ACB,2016-12-29 07:00:00,2.61,2.67,2.6,2.64,398898
ACB,2016-12-30 07:00:00,2.67,2.67,2.63,2.64,132554
ACB,2017-01-03 07:00:00,2.66,2.85,2.66,2.85,1609757
ACB,2017-01-04 07:00:00,2.85,2.93,2.85,2.87,739000
ACB,2017-01-05 07:00:00,2.88,2.9,2.84,2.87,471881
ACB,2017-01-06 07:00:00,2.87,3.14,2.84,3.02,1409824
ACB,2017-01-09 07:00:00,3.02,3.14,3.02,3.12,970791
ACB,2017-01-10 07:00:00,3.12,3.17,3.05,3.15,942499
ACB,2017-01-11 07:00:00,3.12,3.27,3.12,3.24,1447461
ACB,2017-01-12 07:00:00,3.23,3.33,3.2,3.24,1158392
ACB,2017-01-13 07:00:00,3.21,3.3,3.18,3.23,1230784
ACB,2017-01-16 07:00:00,3.23,3.27,3.2,3.27,575469
ACB,2017-01-17 07:00:00,3.3,3.5,3.29,3.45,1398174
ACB,2017-01-18 07:00:00,3.45,3.56,3.44,3.47,1360520
ACB,2017-01-19 07:00:00,3.47,3.51,3.41,3.45,542576
ACB,2017-01-20 07:00:00,3.45,3.56,3.45,3.47,614473
ACB,2017-01-23 07:00:00,3.47,3.47,3.36,3.44,867359
ACB,2017-01-24 07:00:00,3.44,3.57,3.39,3.53,722901
ACB,2017-01-25 07:00:00,3.51,3.54,3.47,3.54,437171
ACB,2017-02-02 07:00:00,3.54,3.59,3.44,3.57,693910
ACB,2017-02-03 07:00:00,3.57,3.68,3.57,3.63,1124649
ACB,2017-02-06 07:00:00,3.63,3.65,3.53,3.54,1767267
ACB,2017-02-07 07:00:00,3.56,3.63,3.51,3.56,820988
ACB,2017-02-08 07:00:00,3.56,3.59,3.5,3.56,627023
ACB,2017-02-09 07:00:00,3.56,3.56,3.53,3.56,480866
ACB,2017-02-10 07:00:00,3.56,3.62,3.56,3.59,2354611
ACB,2017-02-13 07:00:00,3.62,3.62,3.5,3.53,1102014
ACB,2017-02-14 07:00:00,3.53,3.54,3.48,3.53,630201
ACB,2017-02-15 07:00:00,3.53,3.56,3.48,3.5,1719050
ACB,2017-02-16 07:00:00,3.51,3.53,3.41,3.41,1657991
ACB,2017-02-17 07:00:00,3.39,3.45,3.38,3.41,886909
ACB,2017-02-20 07:00:00,3.41,3.47,3.39,3.41,1208009
ACB,2017-02-21 07:00:00,3.41,3.44,3.39,3.41,992334
ACB,2017-02-22 07:00:00,3.41,3.41,3.32,3.39,890701
ACB,2017-02-23 07:00:00,3.39,3.39,3.35,3.39,599354
ACB,2017-02-24 07:00:00,3.41,3.54,3.39,3.41,2041146
ACB,2017-02-27 07:00:00,3.41,3.45,3.41,3.44,652055
ACB,2017-02-28 07:00:00,3.45,3.47,3.41,3.44,493768
ACB,2017-03-01 07:00:00,3.42,3.42,3.33,3.39,947826
ACB,2017-03-02 07:00:00,3.39,3.39,3.33,3.38,356057
ACB,2017-03-03 07:00:00,3.38,3.42,3.3,3.42,658085
ACB,2017-03-06 07:00:00,3.44,3.47,3.39,3.39,767074
ACB,2017-03-07 07:00:00,3.42,3.42,3.36,3.38,342874
ACB,2017-03-08 07:00:00,3.38,3.6,3.35,3.5,3300268
ACB,2017-03-09 07:00:00,3.5,3.59,3.5,3.51,2499511
ACB,2017-03-10 07:00:00,3.5,3.6,3.5,3.56,3996520
ACB,2017-03-13 07:00:00,3.56,3.56,3.44,3.44,3149747
ACB,2017-03-14 07:00:00,3.44,3.48,3.41,3.42,1043292
ACB,2017-03-15 07:00:00,3.42,3.51,3.35,3.47,1841218
ACB,2017-03-16 07:00:00,3.48,3.51,3.47,3.48,1849057
ACB,2017-03-17 07:00:00,3.51,3.66,3.45,3.51,5329369
ACB,2017-03-20 07:00:00,3.53,3.6,3.51,3.59,5125254
ACB,2017-03-21 07:00:00,3.62,3.77,3.6,3.75,10618307
ACB,2017-03-22 07:00:00,3.75,3.84,3.74,3.75,4597625
ACB,2017-03-23 07:00:00,3.75,3.77,3.69,3.74,3086794
ACB,2017-03-24 07:00:00,3.74,3.89,3.72,3.83,7262960
ACB,2017-03-27 07:00:00,3.83,3.89,3.74,3.78,4647682
ACB,2017-03-28 07:00:00,3.78,3.8,3.69,3.71,3883267
ACB,2017-03-29 07:00:00,3.72,3.74,3.65,3.69,4693967
ACB,2017-03-30 07:00:00,3.69,3.75,3.68,3.71,2636139
ACB,2017-03-31 07:00:00,3.72,3.75,3.66,3.68,2374460
ACB,2017-04-03 07:00:00,3.68,3.75,3.62,3.75,4561999
ACB,2017-04-04 07:00:00,3.77,3.86,3.74,3.8,4282474
ACB,2017-04-05 07:00:00,3.8,3.86,3.77,3.78,2922560
ACB,2017-04-07 07:00:00,3.78,3.78,3.69,3.72,2654414
ACB,2017-04-10 07:00:00,3.72,3.75,3.63,3.66,4172644
ACB,2017-04-11 07:00:00,3.66,3.66,3.56,3.56,3447528
ACB,2017-04-12 07:00:00,3.56,3.59,3.45,3.47,4187963
ACB,2017-04-13 07:00:00,3.47,3.53,3.45,3.45,1942706
ACB,2017-04-14 07:00:00,3.45,3.48,3.38,3.44,2869490
ACB,2017-04-17 07:00:00,3.44,3.5,3.38,3.38,1791452
ACB,2017-04-18 07:00:00,3.39,3.44,3.35,3.44,1966220
ACB,2017-04-19 07:00:00,3.44,3.44,3.41,3.41,904604
ACB,2017-04-20 07:00:00,3.41,3.45,3.39,3.41,1029547
ACB,2017-04-21 07:00:00,3.41,3.42,3.38,3.41,1166146
ACB,2017-04-24 07:00:00,3.38,3.41,3.38,3.38,1041557
ACB,2017-04-25 07:00:00,3.35,3.39,3.32,3.32,1796943
ACB,2017-04-26 07:00:00,3.35,3.42,3.32,3.41,1183165
ACB,2017-04-27 07:00:00,3.41,3.45,3.39,3.41,867590
ACB,2017-04-28 07:00:00,3.39,3.51,3.33,3.48,3189572
ACB,2017-05-03 07:00:00,3.48,3.59,3.48,3.57,2622355
ACB,2017-05-04 07:00:00,3.59,3.6,3.54,3.57,1511935
ACB,2017-05-05 07:00:00,3.57,3.6,3.51,3.53,1540483
ACB,2017-05-08 07:00:00,3.51,3.54,3.45,3.47,1334252
ACB,2017-05-09 07:00:00,3.47,3.57,3.45,3.56,1873308
ACB,2017-05-10 07:00:00,3.59,3.6,3.54,3.56,1722684
ACB,2017-05-11 07:00:00,3.56,3.59,3.51,3.51,1225352
ACB,2017-05-12 07:00:00,3.54,3.56,3.51,3.54,1408743
ACB,2017-05-15 07:00:00,3.54,3.56,3.5,3.53,1557823
ACB,2017-05-16 07:00:00,3.5,3.65,3.5,3.59,4063912
ACB,2017-05-17 07:00:00,3.59,3.66,3.59,3.66,2463380
ACB,2017-05-18 07:00:00,3.66,3.77,3.63,3.68,4440070
ACB,2017-05-19 07:00:00,3.68,3.77,3.65,3.71,3380097
ACB,2017-05-22 07:00:00,3.71,3.86,3.71,3.77,8110171
ACB,2017-05-23 07:00:00,3.78,3.81,3.68,3.68,3154806
ACB,2017-05-24 07:00:00,3.68,3.83,3.68,3.78,2741337
ACB,2017-05-25 07:00:00,3.78,3.87,3.77,3.77,4482961
ACB,2017-05-26 07:00:00,3.77,3.78,3.74,3.75,1931186
ACB,2017-05-29 07:00:00,3.72,3.83,3.72,3.77,2434669
ACB,2017-05-30 07:00:00,3.77,3.84,3.74,3.75,3271836
ACB,2017-05-31 07:00:00,3.74,3.81,3.74,3.75,1808309
ACB,2017-06-01 07:00:00,3.75,3.81,3.72,3.72,2213737
ACB,2017-06-02 07:00:00,3.72,3.74,3.66,3.71,2358110
ACB,2017-06-05 07:00:00,3.71,3.78,3.71,3.72,2071223
ACB,2017-06-06 07:00:00,3.78,3.8,3.74,3.8,2786052
ACB,2017-06-07 07:00:00,3.8,4.01,3.78,3.96,9677631
ACB,2017-06-08 07:00:00,3.96,3.99,3.89,3.92,1793086
ACB,2017-06-09 07:00:00,3.9,3.98,3.9,3.93,1633448
ACB,2017-06-12 07:00:00,3.93,3.96,3.89,3.9,2711450
ACB,2017-06-13 07:00:00,3.9,4.02,3.89,3.98,2560207
ACB,2017-06-14 07:00:00,3.98,4.04,3.98,4.01,2095019
ACB,2017-06-15 07:00:00,4.01,4.02,3.96,3.96,2027588
ACB,2017-06-16 07:00:00,3.96,3.98,3.95,3.96,1073742
ACB,2017-06-19 07:00:00,3.99,4.01,3.96,3.99,2509473
ACB,2017-06-20 07:00:00,4.01,4.07,4.01,4.02,2009016
ACB,2017-06-21 07:00:00,4.02,4.04,3.92,3.95,3907011
ACB,2017-06-22 07:00:00,3.95,3.98,3.92,3.92,1990597
ACB,2017-06-23 07:00:00,3.9,3.92,3.84,3.86,2881921
ACB,2017-06-26 07:00:00,3.86,3.93,3.86,3.92,1201089
ACB,2017-06-27 07:00:00,3.9,3.93,3.87,3.89,681015
ACB,2017-06-28 07:00:00,3.87,3.9,3.84,3.87,861040
ACB,2017-06-29 07:00:00,3.87,3.92,3.87,3.9,928253
ACB,2017-06-30 07:00:00,3.92,3.93,3.89,3.89,663360
ACB,2017-07-03 07:00:00,3.9,4.01,3.9,3.96,2832824
ACB,2017-07-04 07:00:00,3.96,3.99,3.92,3.93,913620
ACB,2017-07-05 07:00:00,3.93,3.99,3.92,3.98,1489515
ACB,2017-07-06 07:00:00,3.98,3.99,3.95,3.98,1436039
ACB,2017-07-07 07:00:00,3.98,4.04,3.95,3.98,2656919
ACB,2017-07-10 07:00:00,3.98,3.99,3.87,3.89,2657063
ACB,2017-07-11 07:00:00,3.89,3.9,3.86,3.89,1562679
ACB,2017-07-12 07:00:00,3.89,3.93,3.89,3.89,1160871
ACB,2017-07-13 07:00:00,3.89,3.9,3.86,3.89,734955
ACB,2017-07-14 07:00:00,3.9,3.9,3.86,3.87,366894
ACB,2017-07-17 07:00:00,3.87,3.87,3.74,3.74,3160757
ACB,2017-07-18 07:00:00,3.74,3.8,3.72,3.77,2229835
ACB,2017-07-19 07:00:00,3.77,3.8,3.77,3.77,584611
ACB,2017-07-20 07:00:00,3.77,3.78,3.74,3.78,731184
ACB,2017-07-21 07:00:00,3.78,3.8,3.75,3.75,357297
ACB,2017-07-24 07:00:00,3.75,3.75,3.66,3.71,1117565
ACB,2017-07-25 07:00:00,3.74,3.77,3.72,3.77,808354
ACB,2017-07-26 07:00:00,3.77,3.86,3.77,3.84,651186
ACB,2017-07-27 07:00:00,3.8,3.86,3.77,3.81,581124
ACB,2017-07-28 07:00:00,3.83,3.89,3.83,3.87,718964
ACB,2017-07-31 07:00:00,3.9,3.93,3.87,3.9,1567378
ACB,2017-08-01 07:00:00,3.92,3.98,3.92,3.92,1566838
ACB,2017-08-02 07:00:00,3.89,3.92,3.86,3.92,1578560
ACB,2017-08-03 07:00:00,3.92,3.92,3.87,3.9,936752
ACB,2017-08-04 07:00:00,3.87,3.89,3.86,3.87,1200627
ACB,2017-08-07 07:00:00,3.87,3.95,3.87,3.9,1478734
ACB,2017-08-08 07:00:00,4.0,4.01,3.92,3.93,382940
ACB,2017-08-09 07:00:00,3.93,3.93,3.84,3.87,1649412
ACB,2017-08-10 07:00:00,3.84,3.89,3.83,3.84,1139760
ACB,2017-08-11 07:00:00,3.86,3.86,3.83,3.84,774623
ACB,2017-08-14 07:00:00,3.83,3.89,3.83,3.89,657975
ACB,2017-08-15 07:00:00,3.89,3.92,3.89,3.9,799795
ACB,2017-08-16 07:00:00,3.9,3.92,3.89,3.92,487273
ACB,2017-08-17 07:00:00,3.93,3.95,3.87,3.87,553039
ACB,2017-08-18 07:00:00,3.81,3.89,3.81,3.89,1175485
ACB,2017-08-21 07:00:00,3.89,4.06,3.89,3.96,4413094
ACB,2017-08-22 07:00:00,4.01,4.01,3.93,3.96,986115
ACB,2017-08-23 07:00:00,3.95,4.01,3.95,4.0,740021
ACB,2017-08-24 07:00:00,4.0,4.18,4.0,4.15,7254759
